
 
---------- Probe ---------
 
N1 = 60.0
N2 = 60.0
A = 1.286E-6
LM = 0.02207
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 9.190000
f = 151.000000
Fs = 800000.000000
waves = 2.0
date = 30/11/2018 12:12
 
---------- Misc ----------
 
Hc = 925.8439190912462 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	B_raw	J_raw	B_drift	 J_drift	B_corr	J_corr
0.000129	0.011627	0.394562	313.0337657564661	0.239302	0.238909	0.23953878912211393	0.23914579887894533	0.16975796626398945	0.1693663058285006
0.000130	0.011871	0.396637	319.5966057564661	0.245726	0.245325	0.24596462469670397	0.24556363452916968	0.17618380183857948	0.17578414147872495
0.000131	0.012177	0.398346	327.8001547564661	0.252180	0.251768	0.252420460271294	0.2520084701793941	0.18263963741316952	0.18222897712894937
0.000132	0.012344	0.400085	332.3121067564661	0.258660	0.258243	0.25890229584588403	0.2584853058296185	0.18912147298775955	0.18870581277917375
0.000134	0.012711	0.401398	342.1563667564661	0.265162	0.264733	0.2654079669950641	0.26497897713006724	0.1956271441369396	0.1951994840796225
0.000135	0.012939	0.402557	348.3090287564661	0.271684	0.271247	0.2719318025696541	0.27149481278029164	0.20215097971152962	0.2017153197298469
0.000136	0.013153	0.403717	354.0515127564661	0.278224	0.277779	0.2784736381442442	0.278028648430516	0.20869281528611971	0.20824915538007127
0.000137	0.013428	0.404724	361.4347077564661	0.284780	0.284326	0.2850314737188342	0.2845774840807404	0.2152506508607097	0.21479799103029568
0.000139	0.013779	0.405548	370.86878875646613	0.291349	0.290883	0.2916041448680143	0.29113815538118915	0.2218233220098898	0.22135866233074442
0.000140	0.014008	0.406067	377.0214507564661	0.297927	0.297454	0.2981839804426043	0.2977109910314135	0.22840315758447982	0.2279314979809688
0.000141	0.014191	0.406555	381.94358075646613	0.304513	0.304033	0.3047718160171943	0.3042918266816379	0.2349909931590698	0.23451233363119317
0.000142	0.014526	0.406891	390.9674847564661	0.311105	0.310614	0.31136565159178436	0.3108746623318623	0.24158482873365988	0.24109516928141755
0.000144	0.014862	0.407257	399.9913897564661	0.317703	0.317201	0.3179673227409644	0.31746533363231105	0.24818649988283992	0.24768584058186632
0.000145	0.015030	0.407837	404.5033417564661	0.324308	0.323800	0.3245741583155544	0.3240661692825354	0.25479333545742994	0.25428667623209067
0.000146	0.015305	0.407837	411.8865357564661	0.330915	0.330398	0.3311829938901445	0.3306660049327598	0.26140217103202	0.2608865118823151
0.000147	0.015625	0.407867	420.5002627564661	0.337523	0.336995	0.3377928294647345	0.33726484058298417	0.26801200660661	0.26748534753253944
0.000149	0.015930	0.407990	428.7038127564661	0.344132	0.343594	0.34440550061391456	0.34386751188343295	0.2746246777557901	0.2740880188329882
